"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"American Standard Inc.","Trane Technologies","$20,000","$0","$20,000","2001","20011004","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-32088-001","","","Ohio","Salem","","44460","327111","327111: Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing","Ireland","","publicly traded","TT","building materials","refrigeration equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Thermo King Corporation","Trane Technologies","$71,205","$0","$71,205","2006","20061030","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1443341","","","Nebraska","Hastings","","68901","33999","33999: All Other Miscellaneous Manufacturing","Ireland","","publicly traded","TT","building materials","refrigeration equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Trane","Trane Technologies","$6,000","$0","$6,000","2009","20090521","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-44894-001","","","Kentucky","Lexington","","40511","333415","333415: Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen","Ireland","","publicly traded","TT","building materials","refrigeration equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Trane Company","Trane Technologies","$5,300","$0","$5,300","2000","20000622","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-19281-001","","","Tennessee","Clarksville","","37040","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","Ireland","","publicly traded","TT","building materials","refrigeration equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Trane Export LLC","Trane Technologies","$5,000","$0","$5,000","2003","20031006","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Ireland","","publicly traded","TT","building materials","refrigeration equipment","FOIA110","Source document obtained through a Freedom of Information Act request to the agency."
"Trane. U.S. Inc.","Trane Technologies","$10,091","$0","$10,091","2009","20090523","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1533412","","","New Mexico","Albuquerque","","87109","238220","238220: Plumbing, Heating, and Air-Conditioning Contractors","Ireland","","publicly traded","TT","building materials","refrigeration equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Trane Company, a Division of American Standard, Inc.","Trane Technologies","$19,048","$0","$19,048","2006","20060125","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-22420-001","","","Oklahoma","Tulsa","","74146","333415","333415: Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen","Ireland","","publicly traded","TT","building materials","refrigeration equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TRANE AMERICAN STANDARD CO.","Trane Technologies","$6,375","$0","$6,375","2003","20031113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","TRENTON","2231 EAST STATE STREET","08619","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","Ireland","","publicly traded","TT","building materials","refrigeration equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN STANDARD, INC. DBA THE TRANE COMPANY","Trane Technologies","$9,000","$0","$9,000","2002","20020430","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LEXINGTON","1515 MERCER RD","40511","000000","","Ireland","","publicly traded","TT","building materials","refrigeration equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRANE COMPANY, THE","Trane Technologies","$6,375","$0","$6,375","2001","20011211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LEXINGTON","1515 MERCER RD","40511","000000","","Ireland","","publicly traded","TT","building materials","refrigeration equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
